Matrix,Group,Distribution,AIC,Parameters
L,Common_L,norm,26.428810957114145,"(85.06229171695426, 65.908288406043)"
L,Common_L,gamma,28.428803656795193,"(400002337.97989905, -1318093.2407030212, 0.003295426493353939)"
L,Common_L,poisson,130.25311254016873,"(85.0,)"
,,,,
L,Common_L,Results for Stop 2,,
L,Common_L,gamma,-18.315856064512992,"(0.1287116406815264, 0.1640788897766449, 17.549213943477298)"
L,Common_L,beta,0.8114581437629234,"(0.18339617954091728, 0.3671783569741496, -5.023558708775633, 57.360265403596514)"
L,Common_L,lognorm,4.890638924239543,"(8.195800216211998, 0.16407888977584817, 9.47958557801162)"
L,Common_L,weibull_min,10.790453398125841,"(0.6434549693527599, 0.1640788897766449, 30.075948356394996)"
L,Common_L,expon,35.454432013153934,"(0.16407888977664492, 18.76144566502059)"
L,Common_L,norm,39.464858242657115,"(18.925524554797235, 20.372149492425777)"
L,Common_L,poisson,107.40848364532482,"(18.75,)"
,,,,
L,Common_L,Results for Stop 12,,
L,Common_L,lognorm,-21.6755320743726,"(16.12284868026417, 6.261042171938429, 31.281095750698753)"
L,Common_L,beta,-6.281808416955048,"(0.28503551538472527, 0.4104362308259397, 0.8001902118059274, 59.9243622675541)"
L,Common_L,gamma,8.908289339738378,"(0.6783938295575174, 6.261042171938429, 24.2508905417667)"
L,Common_L,weibull_min,23.84922701598405,"(0.897218757700998, 6.261042171938429, 25.196334873256653)"
L,Common_L,expon,29.168691509550623,"(6.2610421719384295, 24.404850859531862)"
L,Common_L,norm,31.218990670668788,"(30.66589303147029, 22.591187845662244)"
L,Common_L,poisson,70.7793703835799,"(30.666666666666668,)"
,,,,
L,Common_L,Results for Stop 19,,
L,Common_L,norm,,"(15.536939648556588, 0.0)"
L,Common_L,lognorm,-59.308469873757616,"(1.4784230434962446, 15.536939648556586, 1.805931382299695e-15)"
L,Common_L,expon,,"(15.536939648556588, 0.0)"
L,Common_L,beta,-59.849860383880895,"(1.0316205012417492, 1.0172102233801126, 15.536939648556586, 1.8074926530632937e-15)"
L,Common_L,weibull_min,-51.819776919083935,"(0.019277288119180336, 15.536939648556586, 0.0002848136652469001)"
L,Common_L,poisson,6.620881100488354,"(16.0,)"
,,,,
S,Day_1,Results for Stop 8,,
S,Day_1,lognorm,170.60356626708798,"(0.19576405771991157, -22.830216019848102, 62.24256699416945)"
S,Day_1,gamma,170.99638564924922,"(15.621012712756798, -9.036526752253707, 3.180127417793043)"
S,Day_1,norm,171.61858490934026,"(40.64028038620393, 13.09172243256429)"
S,Day_1,beta,176.0443180836079,"(2.8654095243545563, 6.393139686037507, 10.055122496279285, 98.7953612143848)"
S,Day_1,expon,184.42076580064156,"(13.643097606635934, 26.997182779568)"
S,Day_1,poisson,201.23791439340954,"(40.666666666666664,)"
S,Day_1,weibull_min,inf,"(1.3408246288454526, 27.160171794535756, 15.725188848124208)"
,,,,
S,Day_1,Results for Stop 7,,
S,Day_1,beta,-12.014391325596268,"(0.0864655209703254, 0.30359323912797126, 37.22737767571933, 18.396077222170113)"
S,Day_1,gamma,-8.322376330997246,"(0.22423584921356637, 37.22737767571933, 4.882804927649964)"
S,Day_1,weibull_min,-4.035581534529966,"(0.262139649018778, 37.22737767571933, 8.314190919800858)"
S,Day_1,lognorm,1.8377793043654496,"(6.640536273169198, 37.22737767571933, 0.061397012867204795)"
S,Day_1,expon,92.18766653880073,"(37.22737767571934, 3.0032839685790904)"
S,Day_1,poisson,131.7499729111829,"(40.04761904761905,)"
S,Day_1,norm,132.3037878902187,"(40.23066164429843, 5.134146202848929)"
,,,,
S,Day_1,Results for Stop 18,,
S,Day_1,beta,112.5640018679983,"(0.16136794803836174, 0.9140287818558399, 32.993788385602834, 32.185224106422574)"
S,Day_1,lognorm,127.68526762740228,"(0.6295108801677209, 31.535441774220835, 6.9667455099265485)"
S,Day_1,expon,128.72976177916914,"(32.99378838560284, 7.168928725917041)"
S,Day_1,poisson,138.94810925412128,"(40.04761904761905,)"
S,Day_1,norm,143.30403359471305,"(40.16271711151988, 6.6713628969535055)"
S,Day_1,gamma,235.73971782011327,"(0.4208619499250752, 32.993788385602834, 1.6119560168953049)"
S,Day_1,weibull_min,inf,"(0.8467630431509118, 35.431585592523554, 7.307554100298706)"
,,,,
S,Day_1,Results for Stop 2,,
S,Day_1,beta,105.20412032738413,"(0.12938115703406247, 0.9121895504120615, 34.311025313675, 32.889034981771495)"
S,Day_1,weibull_min,106.12936267183927,"(0.5009062166791309, 34.311025313675, 8.609873482600932)"
S,Day_1,gamma,109.82991184291562,"(0.7868402069064168, 34.311025313675, 7.798808355558878)"
S,Day_1,lognorm,118.53104722717964,"(0.8071220383064032, 33.71861875106488, 4.369545663649627)"
S,Day_1,expon,119.31014034299018,"(34.31102531367501, 5.728647886713347)"
S,Day_1,poisson,140.0883015993043,"(39.95238095238095,)"
S,Day_1,norm,144.32327129528414,"(40.03967320038836, 6.8352410443169775)"
,,,,
S,Day_1,Results for Stop 6,,
S,Day_1,lognorm,138.60786587602414,"(0.5012255530013695, 26.553533955621546, 11.348557926351713)"
S,Day_1,gamma,141.85917299870215,"(2.3792537590753007, 28.624638623709632, 4.654141575928573)"
S,Day_1,expon,143.29874555948984,"(29.55652232428529, 10.141508953110481)"
S,Day_1,beta,143.85921699273163,"(2.37280278071509, 798212109036.5626, 28.629357588228856, 3724762589794.363)"
S,Day_1,poisson,157.54439055690335,"(39.57142857142857,)"
S,Day_1,norm,158.0819945628429,"(39.69803127739577, 9.484703897825511)"
S,Day_1,weibull_min,inf,"(0.8000414167924066, 33.48639168873227, 5.460220231229082)"
,,,,
S,Day_1,Results for Stop 20,,
S,Day_1,norm,169.13965919289546,"(39.66186853109158, 12.341383339308623)"
S,Day_1,lognorm,170.9289974909072,"(0.04629158383016477, -225.89008578300601, 265.26716308912864)"
S,Day_1,gamma,170.960273209185,"(225.6861933086616, -145.6859250954745, 0.821256991158549)"
S,Day_1,beta,172.96343741923664,"(203.03067441557255, 2343830.3765288796, -136.0636294533366, 2028808.9837086722)"
S,Day_1,expon,193.9974884538853,"(5.750519939013003, 33.911348592078575)"
S,Day_1,poisson,205.5724148707888,"(39.666666666666664,)"
S,Day_1,weibull_min,inf,"(0.8016518574435307, 34.7444872801293, 9.664309015672607)"
,,,,
S,Day_1,Results for Stop 4,,
S,Day_1,beta,83.00950484993258,"(0.2035719713675791, 0.8379331905101486, 35.3651091369038, 18.212504939658054)"
S,Day_1,gamma,84.89271401892059,"(0.4082686975510682, 35.3651091369038, 6.502690332406883)"
S,Day_1,weibull_min,98.6357618802472,"(0.8184222386697879, 35.3651091369038, 4.236083576021214)"
S,Day_1,expon,105.33211490402557,"(35.365109136903804, 4.106903763859798)"
S,Day_1,lognorm,106.05627806860356,"(0.8061090451056443, 34.91014516169493, 3.2507731202264782)"
S,Day_1,norm,123.920393409723,"(39.4720129007636, 4.205145644827807)"
S,Day_1,poisson,127.08169862235805,"(39.333333333333336,)"
,,,,
S,Day_1,Results for Stop 16,,
S,Day_1,gamma,91.06808478033939,"(0.6731742006726404, 35.30143637881752, 6.191273829693729)"
S,Day_1,weibull_min,97.54545073067393,"(0.7968322235928812, 35.30143637881752, 4.090780175643205)"
S,Day_1,beta,104.43504257561042,"(0.9055086713312693, 89.13670566572696, 35.30143637881752, 406.02714286903694)"
S,Day_1,lognorm,104.74552723969624,"(0.7858721076682327, 34.842676396551816, 3.23201627040606)"
S,Day_1,expon,105.55968217231695,"(35.30143637881753, 4.1292164638145294)"
